Content,Video title,Video publish time,Duration,Impressions,Impressions click-through rate (%),Views,Average view duration,Average percentage viewed (%),Hypes
Total,,,,646705,3.53,66881,0:01:46,21.56,0
xYIieKHG76U,Create a Cameo of Yourself Using Sora 2,"Oct 13, 2025",36,34333,4.65,4219,0:00:26,73.12,0
ACuyKBN3r4s,Perplexity Computer Just Showed Us the Next Era of AI,"Mar 6, 2026",565,33508,6.32,3049,0:02:43,28.99,0
RZzAOIOVY4I,Anthropic Just Fixed Their Biggest Problem With Opus 4.6 (Full Walkthrough),"Feb 7, 2026",967,32994,5.2,2334,0:02:48,17.43,0
OZH7G3tMKHQ,Why is Everyone Buying Mac Minis for OpenClaw?,"Jan 30, 2026",780,30528,6.22,3839,0:03:18,25.51,0
uL3oPFr3Uhg,Everyone Says We're in an AI Bubble. The Data Says Otherwise,"Nov 5, 2025",928,26899,4.61,1785,0:02:46,17.96,0
sJSevt8GuzM,Claude Just Shipped an Operating System. Most Enterprises Aren't Ready,"Apr 23, 2026",446,20012,5.42,1749,0:01:51,25.03,0
no2aoQPhJWA,The Future of AI: 3 Massive Predictions for 2026,"Jan 1, 2026",440,19632,3.58,940,0:01:55,26.28,0
zdhvUlCD0x0,This OpenClaw Vulnerability Could Destroy Your System,"Feb 6, 2026",644,17188,3.21,1441,0:02:44,25.59,0
zqnXW-mm75w,SaaS is Dead? (Not What You Think),"Feb 26, 2026",678,16011,2.22,556,0:02:51,25.28,0
6b-NL4P8g_A,Can AI Break Free from Hallucinating?,"Sep 16, 2025",671,15716,2.67,583,0:02:28,22.21,0
RsRCOEUOTrQ,Ilya Sutskever Interview on Dwarkesh : What Comes After LLMs?,"Dec 4, 2025",742,15565,2.27,605,0:02:19,18.74,0
fzdjg2egUh4,Chat GPT Got Upgraded Again,"Sep 23, 2025",586,14781,4.03,807,0:01:56,19.94,0
ib9FECi5TWU,Open AI Shipped Their Most Dangerous Model But Anthropic Refused,"May 11, 2026",872,13677,6.74,1250,0:02:53,19.92,0
jOGjOoFvxVw,LeCun Says LLMs Are Stuck. Here's What's Next,"Feb 11, 2026",260,13523,4.26,894,0:01:52,43.44,0
j0gJ3gKEzpM,Infinite Talk: Unlimited AI Lip Sync 🤯 | #shorts,"Sep 10, 2025",27,13061,2.11,1163,0:00:20,77.05,0
MWIdHQ8TZFg,"Grok 2.5, DeepSeek 3.1 & Mind-Blowing 3D Generators","Sep 2, 2025",631,11383,2.86,446,0:01:34,15.03,0
jsdhMROiiuI,Notion AI Agents Are Here,"Sep 30, 2025",679,10294,2.75,409,0:02:13,19.7,0
l058A210jJI,What is GPT 5 Codex? Open AI’s latest upgrade,"Sep 25, 2025",99,10264,1.97,1498,0:00:48,49.49,0
llo_nlhJaVk,Did Google Just Kill OpenClaw?,"May 20, 2026",439,9900,1.85,322,0:02:40,36.58,0
VXWkxdOgoCs,Google Paid $2.4B for Antigravity. Here's Why.,"Nov 27, 2025",789,9212,3.5,621,0:02:31,19.19,0
hDR9lBMeDWo,HTML to Markdown Is Changing How AI Reads the Internet,"Apr 9, 2026",1000,8999,4.19,698,0:02:56,17.67,0
hbrYsvGLkIM,The Week AI Got Expensive,"May 3, 2026",552,8692,4.11,495,0:01:59,21.68,0
bwPksKU_ihM,Why OpenAI Made a Browser,"Oct 28, 2025",833,8670,3.31,434,0:03:29,25.19,0
ckY6hCQ47ZI,94% of Enterprises Have an AI Infrastructure Problem (Most Don't Know It),"Mar 25, 2026",894,8019,2.71,345,0:01:45,11.79,0
HYUWLS9zezM,Open AI's Dev Day: Reflections and Full Breakdown,"Oct 14, 2025",878,7676,2.8,291,0:02:41,18.42,0
WdRyjz5C8s4,Did Open AI Just Kill Shopping? Plus SORA 2 breakdown,"Oct 8, 2025",745,7339,2.81,328,0:01:53,15.19,0
